asset_id,client_id,content_sha256,asset_name,asset_type,parent_asset_id,duration_sec,source_uri,ingested_at
e70bc2c272f518d9e496f7703511898635ae10fef6e4af6a5b7f36157776cfd7,voltecx,e60c05081946519ebf8b978446cdd7190b89f1f76b73a588f423b275dce7fadf,batch1 - win - 869813822609430.mp4,EDITED,,137,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/e70bc2c272f518d9e496f7703511898635ae10fef6e4af6a5b7f36157776cfd7.mp4,2026-06-22T13:01:46.663238+00:00
bba46c296aed41c1d08d80f352ff1b1eeb04ba149bfeddf172bac7e74bb2c54f,voltecx,5047e91bb3b0e26d04c0cd324e0d31014350a33e3bafdb66f18e7c2677544131,CT2 Skeptic.mp4,EDITED,,150,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/bba46c296aed41c1d08d80f352ff1b1eeb04ba149bfeddf172bac7e74bb2c54f.mp4,2026-06-22T13:01:46.663238+00:00
52ecf0707bbb6adbb79bb0c038217ae741b73dcb2e0f04557aee0836f8ef1d6f,voltecx,45a2568ec220d293307cbb1522aef3add566cf4448936cc17baeed44a1e14175,CT3 Multibenefit.mp4,EDITED,,153,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/52ecf0707bbb6adbb79bb0c038217ae741b73dcb2e0f04557aee0836f8ef1d6f.mp4,2026-06-22T13:01:46.663238+00:00
0419274eef58ba7b35e0da921cfee64c48cca93479a375619260e1404acc762c,voltecx,9868061e5803b4581cc6daaa0ad9c3952b7a273eeecf2a4f33c25b9b32d4979c,CT1 Jimat minyak (1).mp4,EDITED,,155,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/0419274eef58ba7b35e0da921cfee64c48cca93479a375619260e1404acc762c.mp4,2026-06-22T13:01:46.663238+00:00
fc8c253cc6cd97ea0a11fa23968398feb0bef0258eb1d93bb78c8126d8e486f9,voltecx,2ef7e11c28ce1653ff578684d1d9e985b6d650bc9e8a2db19a0f24904a41a7b0,CREATIVE 1 AIRCOND SEJUK GENTING  .mp4,EDITED,,153,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/fc8c253cc6cd97ea0a11fa23968398feb0bef0258eb1d93bb78c8126d8e486f9.mp4,2026-06-22T13:01:46.663238+00:00
9a5177ebdaa12ad09a0f76b003034c2b6fa84268e52cc4e8cd20b4e3e190013c,voltecx,e58220153adf1898a8b82d0ef37c9a692da711c479ff889acfd6f390f43aa675,_CREATIVE 6 SKEPTIC CONVERTED (FACEBOOK JOURNEY) .mp4,EDITED,,174,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/9a5177ebdaa12ad09a0f76b003034c2b6fa84268e52cc4e8cd20b4e3e190013c.mp4,2026-06-22T13:01:46.663238+00:00
d6941f95ce88bef958368e166a08938519ef999a683a22614bc4c0b041cb9816,voltecx,25ab4804f5a52c763965cd8b705138be40ac366b786f439cad98145447f403a2,iteration-win2-batch 2.mp4,EDITED,,127,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/d6941f95ce88bef958368e166a08938519ef999a683a22614bc4c0b041cb9816.mp4,2026-06-22T13:01:46.663238+00:00
afbe9bb2ad4e8982b3e8a5b9dd94fa9e2d69b8a1b70cb8f24e387cea2f59ba63,voltecx,9b95314d009745bf0c11e5fc4e9b1e3fdc24aa989a3b0276d9d2ee809898ca86,iteration-win1- batch2.mp4,EDITED,,111,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/afbe9bb2ad4e8982b3e8a5b9dd94fa9e2d69b8a1b70cb8f24e387cea2f59ba63.mp4,2026-06-22T13:01:46.663238+00:00
3ed46206fa9a97a510766855aed9093eb4c36745008ad99c7025da057c058525,voltecx,efea9dd2bf7ec226b54faafa15a3ba6371a134f04adad54de7a4e0d079174dd7,iteration-win2-batch 3.mp4,EDITED,,124,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/3ed46206fa9a97a510766855aed9093eb4c36745008ad99c7025da057c058525.mp4,2026-06-22T13:01:46.663238+00:00
f41426ce1acc893b14ddb41bc424840597ecd02f1dd1db45e45d87aa5502d519,voltecx,03df52f42f72474332408e2e00a59b2d5b26fde0b07835de25f722d5a9e29ef3,iteration-win-869813832609429.mp4,EDITED,,72,abfss://creative-intel-ws@onelake.dfs.fabric.microsoft.com/creative_intel_lh.Lakehouse/Files/landing/voltecx/video/f41426ce1acc893b14ddb41bc424840597ecd02f1dd1db45e45d87aa5502d519.mp4,2026-06-22T13:01:46.663238+00:00
